insertion_id,license_plate,category,color,timestamp,gate,zone,description
6036819,-,pedestrian,undefined,2025-01-24 04:57:09+00,ganajan_car_in,50,ZONE 2 - Table
6036825,MHHBUB44,car,black,2025-01-24 04:57:38.24+00,ganajan_car_in,50,ZONE 2 - Table
6036826,-,car,blue,2025-01-24 04:57:43.56+00,ganajan_car_in,50,ZONE 2 - Table
6036828,MH28BQ3305,car,white,2025-01-24 04:57:48.12+00,ganajan_car_in,50,ZONE 2 - Table
6036832,-,pedestrian,undefined,2025-01-24 04:58:05.48+00,ganajan_car_in,50,ZONE 2 - Table
6036834,-,pedestrian,undefined,2025-01-24 04:58:43.08+00,ganajan_car_in,50,ZONE 2 - Table
6036844,-,pedestrian,undefined,2025-01-24 04:58:31.16+00,ganajan_car_in,50,ZONE 2 - Table
6036854,-,pedestrian,undefined,2025-01-24 04:58:26.64+00,ganajan_car_in,50,ZONE 2 - Table
6036856,MH21CA1378,car,white,2025-01-24 04:58:30.92+00,ganajan_car_in,50,ZONE 2 - Table
6036861,-,pedestrian,undefined,2025-01-24 04:58:37.48+00,ganajan_car_in,50,ZONE 2 - Table
6036862,-,pedestrian,undefined,2025-01-24 04:58:34.6+00,ganajan_car_in,50,ZONE 2 - Table
6036863,-,pedestrian,undefined,2025-01-24 04:58:36.04+00,ganajan_car_in,50,ZONE 2 - Table
6036870,MH31FE3390,car,white,2025-01-24 04:59:16.52+00,ganajan_car_in,50,ZONE 2 - Table
6036873,MH28AN4708,van,white,2025-01-24 04:59:23.813+00,ganajan_car_in,50,ZONE 2 - Table
6036889,-,pedestrian,undefined,2025-01-24 04:59:59.08+00,ganajan_car_in,50,ZONE 2 - Table
6036895,-,pedestrian,undefined,2025-01-24 05:00:05.32+00,ganajan_car_in,50,ZONE 2 - Table
6036916,-,car,white,2025-01-24 05:00:42.08+00,ganajan_car_in,50,ZONE 2 - Table
6036921,MH31FU3219,car,white,2025-01-24 05:00:45.52+00,ganajan_car_in,50,ZONE 2 - Table
6036927,-,pedestrian,undefined,2025-01-24 05:00:49.36+00,ganajan_car_in,50,ZONE 2 - Table
6036934,-,motorcycle,undefined,2025-01-24 05:01:25.56+00,ganajan_car_in,50,ZONE 2 - Table
6036946,-,pedestrian,undefined,2025-01-24 05:01:19.72+00,ganajan_car_in,50,ZONE 2 - Table
6036950,-,pedestrian,undefined,2025-01-24 05:01:30.32+00,ganajan_car_in,50,ZONE 2 - Table
6036952,-,pedestrian,undefined,2025-01-24 05:01:34.08+00,ganajan_car_in,50,ZONE 2 - Table
6036959,-,pedestrian,undefined,2025-01-24 05:01:37.24+00,ganajan_car_in,50,ZONE 2 - Table
6036967,-,pedestrian,undefined,2025-01-24 05:02:08.88+00,ganajan_car_in,50,ZONE 2 - Table
6037001,MH37AD1355,car,white,2025-01-24 05:02:30.88+00,ganajan_car_in,50,ZONE 2 - Table
6037012,MH06AW5159,car,white,2025-01-24 05:03:33.6+00,ganajan_car_in,50,ZONE 2 - Table
6037021,-,pedestrian,undefined,2025-01-24 05:03:56.88+00,ganajan_car_in,50,ZONE 2 - Table
6037027,-,pedestrian,undefined,2025-01-24 05:04:01.4+00,ganajan_car_in,50,ZONE 2 - Table
6037030,-,pedestrian,undefined,2025-01-24 05:04:06.64+00,ganajan_car_in,50,ZONE 2 - Table
